"LinkSrLogType_ID","LogType_ID","SR_ID","CreatedBy_ID","CreatedAt","UpdatedBy_ID","UpdatedAt","IsActive"
26,14,13,499,"2024-11-29 12:04:16",499,"2024-11-29 12:04:16",1
27,26,15,235,"2024-12-02 11:25:30",235,"2024-12-02 11:25:30",1
28,25,18,268,"2024-12-02 15:51:54",268,"2024-12-02 15:51:54",1
29,20,19,27,"2024-12-02 16:53:38",27,"2024-12-02 16:53:38",1
30,51,22,27,"2024-12-03 14:50:54",27,"2024-12-03 14:50:54",1
31,53,22,27,"2024-12-03 14:50:54",27,"2024-12-03 14:50:54",1
32,67,22,27,"2024-12-03 14:50:54",27,"2024-12-03 14:50:54",1
36,25,24,27,"2024-12-03 15:30:19",27,"2024-12-03 15:30:19",1
37,49,24,27,"2024-12-03 15:30:19",27,"2024-12-03 15:30:19",1
38,52,24,27,"2024-12-03 15:30:19",27,"2024-12-03 15:30:19",1
39,52,25,27,"2024-12-03 15:53:03",27,"2024-12-03 15:53:03",1
40,27,30,27,"2024-12-04 10:25:12",27,"2024-12-04 14:02:41",0
41,51,30,27,"2024-12-04 14:02:41",27,"2024-12-04 14:02:41",1
42,52,31,27,"2024-12-04 14:57:39",27,"2024-12-04 14:57:39",1
43,26,32,27,"2024-12-04 15:01:48",27,"2024-12-04 15:01:48",1
44,50,33,27,"2024-12-04 16:45:36",27,"2024-12-04 16:45:36",1
45,22,34,27,"2024-12-05 08:39:31",27,"2024-12-05 08:39:31",1
46,23,34,27,"2024-12-05 08:39:31",27,"2024-12-05 08:39:31",1
47,25,34,27,"2024-12-05 08:39:31",27,"2024-12-05 08:39:31",1
48,40,34,27,"2024-12-05 08:39:31",27,"2024-12-05 08:39:31",1
49,102,34,27,"2024-12-05 08:39:31",27,"2024-12-05 08:39:31",1
50,40,35,235,"2024-12-05 10:50:01",235,"2024-12-05 10:50:01",1
51,64,35,235,"2024-12-05 10:50:01",235,"2024-12-05 10:50:01",1
52,72,35,235,"2024-12-05 10:50:01",235,"2024-12-05 10:50:01",1
53,13,37,27,"2024-12-05 14:21:10",27,"2024-12-05 14:21:10",1
54,25,37,27,"2024-12-05 14:21:10",27,"2024-12-05 14:21:10",1
55,40,37,27,"2024-12-05 14:21:10",27,"2024-12-05 14:21:10",1
56,52,37,27,"2024-12-05 14:21:10",27,"2024-12-05 14:21:10",1
57,68,37,27,"2024-12-05 14:21:10",27,"2024-12-05 14:21:10",1
58,22,38,27,"2024-12-05 16:20:04",27,"2024-12-05 16:20:04",1
59,23,38,27,"2024-12-05 16:20:04",27,"2024-12-05 16:20:04",1
60,25,38,27,"2024-12-05 16:20:04",27,"2024-12-05 16:20:04",1
61,76,39,27,"2024-12-06 09:32:42",27,"2024-12-06 09:32:42",1
62,25,41,27,"2024-12-06 13:35:40",27,"2024-12-06 13:35:40",1
63,43,41,27,"2024-12-06 13:35:40",27,"2024-12-06 13:35:40",1
64,56,41,27,"2024-12-06 13:35:40",27,"2024-12-06 13:35:40",1
65,13,42,27,"2024-12-06 17:02:21",27,"2024-12-06 17:02:21",1
66,22,42,27,"2024-12-06 17:02:21",27,"2024-12-06 17:02:21",1
67,23,42,27,"2024-12-06 17:02:21",27,"2024-12-06 17:02:21",1
68,25,42,27,"2024-12-06 17:02:21",27,"2024-12-06 17:02:21",1
69,42,43,27,"2024-12-09 10:49:10",27,"2024-12-09 10:49:10",1
70,42,44,235,"2024-12-09 12:24:07",235,"2024-12-09 12:24:07",1
71,38,47,235,"2024-12-10 16:38:06",235,"2024-12-10 16:38:06",1
72,13,52,235,"2024-12-12 10:12:43",235,"2024-12-12 10:12:43",1
73,22,52,235,"2024-12-12 10:12:43",235,"2024-12-12 10:12:43",1
74,23,52,235,"2024-12-12 10:12:43",235,"2024-12-12 10:12:43",1
75,25,52,235,"2024-12-12 10:12:43",235,"2024-12-12 10:12:43",1
76,43,56,235,"2024-12-12 13:56:01",235,"2024-12-12 13:56:01",1
77,22,57,27,"2024-12-12 15:32:16",27,"2024-12-12 15:32:16",1
78,25,57,27,"2024-12-12 15:32:16",27,"2024-12-12 15:32:16",1
79,40,57,27,"2024-12-12 15:32:16",27,"2024-12-12 15:32:16",1
80,20,59,27,"2024-12-12 15:54:54",27,"2024-12-12 15:54:54",1
81,22,59,27,"2024-12-12 15:54:54",27,"2024-12-12 15:54:54",1
82,23,59,27,"2024-12-12 15:54:54",27,"2024-12-12 15:54:54",1
83,25,59,27,"2024-12-12 15:54:54",27,"2024-12-12 15:54:54",1
84,13,60,27,"2024-12-12 15:58:09",27,"2024-12-12 15:58:09",1
85,22,60,27,"2024-12-12 15:58:09",27,"2024-12-12 15:58:09",1
86,23,60,27,"2024-12-12 15:58:09",27,"2024-12-12 15:58:09",1
87,25,60,27,"2024-12-12 15:58:09",27,"2024-12-12 15:58:09",1
88,13,61,27,"2024-12-12 16:06:17",27,"2024-12-12 16:06:17",1
89,22,61,27,"2024-12-12 16:06:17",27,"2024-12-12 16:06:17",1
90,23,61,27,"2024-12-12 16:06:17",27,"2024-12-12 16:06:17",1
91,25,61,27,"2024-12-12 16:06:17",27,"2024-12-12 16:06:17",1
92,42,63,27,"2024-12-13 09:03:37",27,"2024-12-13 09:03:37",1
93,70,63,27,"2024-12-13 09:03:37",27,"2024-12-13 09:03:37",1
94,107,63,27,"2024-12-13 09:03:37",27,"2024-12-13 09:03:37",1
95,110,63,27,"2024-12-13 09:03:37",27,"2024-12-13 09:03:37",1
96,22,64,27,"2024-12-13 09:25:55",27,"2024-12-13 09:25:55",1
97,23,64,27,"2024-12-13 09:25:55",27,"2024-12-13 09:25:55",1
98,25,64,27,"2024-12-13 09:25:55",27,"2024-12-13 09:25:55",1
99,49,64,27,"2024-12-13 09:25:55",27,"2024-12-13 09:25:55",1
100,58,64,27,"2024-12-13 09:25:55",27,"2024-12-19 15:28:00",0
101,78,67,27,"2024-12-16 08:48:51",27,"2024-12-16 08:48:51",1
102,111,67,27,"2024-12-16 08:48:51",27,"2024-12-16 08:48:51",1
103,17,71,235,"2024-12-16 13:28:03",235,"2024-12-16 13:28:03",1
104,24,77,27,"2024-12-16 16:14:23",27,"2024-12-16 16:14:23",1
105,79,77,27,"2024-12-16 16:14:23",27,"2024-12-16 16:14:23",1
106,42,82,27,"2024-12-17 08:49:26",27,"2024-12-17 08:49:26",1
107,31,83,268,"2024-12-17 16:56:03",268,"2024-12-17 16:56:03",1
108,42,83,268,"2024-12-17 16:56:03",268,"2024-12-17 16:56:03",1
109,55,86,27,"2024-12-18 14:00:10",27,"2024-12-18 14:00:10",1
110,68,86,27,"2024-12-18 14:00:10",27,"2024-12-18 14:00:10",1
114,43,88,27,"2024-12-18 16:38:35",27,"2024-12-18 16:38:35",1
115,78,88,27,"2024-12-18 16:38:35",27,"2024-12-18 16:38:35",1
116,110,88,27,"2024-12-18 16:38:35",27,"2024-12-18 16:38:35",1
117,42,40,27,"2024-12-19 09:33:24",27,"2024-12-19 11:44:20",0
118,93,40,27,"2024-12-19 09:48:04",27,"2024-12-19 11:44:20",0
119,101,89,27,"2024-12-19 13:12:11",27,"2024-12-19 13:12:11",1
120,48,90,27,"2024-12-19 13:26:35",27,"2024-12-19 13:26:35",1
121,78,90,27,"2024-12-19 13:26:35",27,"2024-12-19 13:26:35",1
122,48,91,27,"2024-12-19 13:42:13",27,"2024-12-19 13:42:13",1
123,78,91,27,"2024-12-19 13:42:13",27,"2024-12-19 13:42:13",1
124,48,92,27,"2024-12-19 13:45:29",27,"2024-12-19 13:45:29",1
125,78,92,27,"2024-12-19 13:45:29",27,"2024-12-19 13:45:29",1
126,48,93,27,"2024-12-19 13:47:15",27,"2024-12-19 13:47:15",1
127,78,93,27,"2024-12-19 13:47:15",27,"2024-12-19 13:47:15",1
128,48,94,27,"2024-12-19 13:49:39",27,"2024-12-19 13:49:39",1
129,78,94,27,"2024-12-19 13:49:39",27,"2024-12-19 13:49:39",1
130,20,95,27,"2024-12-19 14:09:14",27,"2024-12-19 14:09:14",1
131,51,64,27,"2024-12-19 15:28:00",27,"2024-12-19 15:28:00",1
132,25,96,27,"2024-12-19 15:38:23",27,"2024-12-19 15:38:23",1
133,42,96,27,"2024-12-19 15:38:23",27,"2024-12-19 15:38:23",1
134,52,96,27,"2024-12-19 15:38:23",27,"2024-12-19 15:38:23",1
135,78,98,235,"2024-12-20 14:45:57",235,"2024-12-20 14:45:57",1
136,22,99,268,"2024-12-23 10:23:17",268,"2024-12-23 10:23:17",1
137,23,99,268,"2024-12-23 10:23:17",268,"2024-12-23 10:23:17",1
138,25,99,268,"2024-12-23 10:23:17",268,"2024-12-23 10:23:17",1
140,58,101,235,"2024-12-23 16:50:13",235,"2024-12-23 16:50:13",1
141,42,102,268,"2024-12-24 09:33:21",268,"2024-12-24 09:33:21",1
142,31,103,268,"2024-12-24 09:56:53",268,"2024-12-24 09:56:53",1
144,42,107,268,"2024-12-24 12:03:12",268,"2024-12-24 12:03:12",1
145,40,119,268,"2024-12-30 11:31:26",268,"2024-12-30 11:31:26",1
146,26,122,268,"2024-12-30 14:05:09",268,"2024-12-30 14:05:09",1
147,26,125,268,"2025-01-02 08:48:25",268,"2025-01-02 08:48:25",1
148,61,73,27,"2025-01-02 09:56:30",27,"2025-01-02 09:56:30",1
149,25,128,27,"2025-01-02 11:23:16",27,"2025-01-02 11:23:16",1
150,49,128,27,"2025-01-02 11:23:16",27,"2025-01-02 11:23:16",1
151,76,128,27,"2025-01-02 11:23:16",27,"2025-01-02 11:23:16",1
152,20,129,268,"2025-01-03 08:35:26",268,"2025-01-03 08:35:26",1
153,25,129,268,"2025-01-03 08:35:26",268,"2025-01-03 08:35:26",1
154,40,129,268,"2025-01-03 08:35:26",268,"2025-01-03 08:35:26",1
155,27,130,711,"2025-01-03 09:21:26",711,"2025-01-03 09:21:26",1
156,17,131,27,"2025-01-03 10:49:17",27,"2025-01-03 10:49:17",1
157,42,132,27,"2025-01-06 09:00:11",27,"2025-01-06 09:00:11",1
158,30,133,268,"2025-01-06 11:24:02",268,"2025-01-06 11:24:02",1
159,31,133,268,"2025-01-06 11:24:02",268,"2025-01-06 11:24:02",1
160,43,134,268,"2025-01-06 13:30:19",268,"2025-01-06 13:30:19",1
161,13,135,268,"2025-01-06 14:47:10",268,"2025-01-06 14:47:10",1
162,20,135,268,"2025-01-06 14:47:10",268,"2025-01-06 14:47:10",1
163,40,135,268,"2025-01-06 14:47:10",268,"2025-01-06 14:47:10",1
164,43,137,711,"2025-01-07 11:28:46",711,"2025-01-07 11:28:46",1
165,20,140,268,"2025-01-07 14:44:34",268,"2025-01-07 14:44:34",1
166,52,140,268,"2025-01-07 14:44:34",268,"2025-01-07 14:44:34",1
167,76,141,268,"2025-01-07 14:58:09",268,"2025-01-07 14:58:09",1
168,24,144,27,"2025-01-07 16:35:55",27,"2025-01-07 16:35:55",1
169,42,146,27,"2025-01-08 08:58:22",27,"2025-01-08 08:58:22",1
170,17,148,27,"2025-01-08 14:32:00",27,"2025-01-08 14:32:00",1
171,17,150,268,"2025-01-09 11:47:05",268,"2025-01-09 11:47:05",1
172,25,151,268,"2025-01-09 13:45:25",268,"2025-01-09 13:45:25",1
173,49,151,268,"2025-01-09 13:45:25",268,"2025-01-09 13:45:25",1
174,70,151,268,"2025-01-09 13:45:25",268,"2025-01-09 13:45:25",1
175,76,151,268,"2025-01-09 13:45:25",268,"2025-01-09 13:45:25",1
176,38,152,268,"2025-01-10 10:23:14",268,"2025-01-10 10:23:14",1
177,17,155,268,"2025-01-10 11:24:18",268,"2025-01-10 11:24:18",1
178,32,157,27,"2025-01-13 08:46:49",27,"2025-01-13 08:46:49",1
179,31,158,27,"2025-01-13 08:54:48",27,"2025-01-13 08:54:48",1
180,38,162,27,"2025-01-16 16:23:17",27,"2025-01-16 16:23:17",1
181,25,164,27,"2025-01-16 16:40:58",27,"2025-01-16 16:40:58",1
182,43,164,27,"2025-01-16 16:40:58",27,"2025-01-16 16:40:58",1
183,52,165,235,"2025-01-17 11:01:49",235,"2025-01-17 11:01:49",1
184,22,166,27,"2025-01-17 11:32:15",27,"2025-01-17 11:32:15",1
185,23,166,27,"2025-01-17 11:32:15",27,"2025-01-17 11:32:15",1
186,25,166,27,"2025-01-17 11:32:15",27,"2025-01-17 11:32:15",1
187,40,166,27,"2025-01-17 11:32:15",27,"2025-01-17 11:32:15",1
188,107,166,27,"2025-01-17 11:32:15",27,"2025-01-17 11:32:15",1
189,30,168,235,"2025-01-17 11:56:23",235,"2025-01-17 11:56:23",1
190,31,168,235,"2025-01-17 11:56:23",235,"2025-01-17 11:56:23",1
191,33,168,235,"2025-01-17 11:56:23",235,"2025-01-17 11:56:23",1
192,40,168,235,"2025-01-17 11:56:23",235,"2025-01-17 11:56:23",1
193,113,168,235,"2025-01-17 11:56:23",235,"2025-01-17 11:56:23",1
194,42,170,27,"2025-01-17 15:36:51",27,"2025-01-17 15:36:51",1
195,43,170,27,"2025-01-17 15:36:51",27,"2025-01-17 15:36:51",1
196,17,171,27,"2025-01-20 12:05:34",27,"2025-01-20 12:05:34",1
197,58,172,235,"2025-01-20 14:25:11",235,"2025-01-20 14:25:11",1
198,13,174,268,"2025-01-20 15:35:22",268,"2025-01-20 15:35:22",1
199,20,174,268,"2025-01-20 15:35:22",268,"2025-01-20 15:35:22",1
200,68,174,268,"2025-01-20 15:35:22",268,"2025-01-20 15:35:22",1
201,26,175,27,"2025-01-20 16:07:39",27,"2025-01-20 16:07:39",1
202,32,176,235,"2025-01-21 11:08:39",235,"2025-01-21 11:08:39",1
203,28,177,268,"2025-01-23 12:10:37",268,"2025-01-23 12:10:37",1
204,61,177,268,"2025-01-23 12:10:37",268,"2025-01-23 12:10:37",1
205,23,178,27,"2025-01-23 14:42:21",27,"2025-01-23 14:42:21",1
206,25,179,27,"2025-01-23 15:41:02",27,"2025-01-23 15:41:02",1
207,43,179,27,"2025-01-23 15:41:02",27,"2025-01-23 15:41:02",1
208,17,180,268,"2025-01-24 07:48:16",268,"2025-01-24 07:48:16",1
209,65,181,235,"2025-01-24 15:52:38",235,"2025-01-24 15:52:38",1
210,76,36,235,"2025-01-27 10:14:34",235,"2025-01-27 10:14:34",1
211,42,182,235,"2025-01-27 14:50:24",235,"2025-01-27 14:50:24",1
212,23,183,235,"2025-01-27 14:55:32",235,"2025-01-27 14:55:32",1
213,25,183,235,"2025-01-27 14:55:32",235,"2025-01-27 14:55:32",1
214,42,184,235,"2025-01-27 15:08:38",235,"2025-01-27 15:08:38",1
215,42,185,235,"2025-01-27 15:32:44",235,"2025-01-27 15:32:44",1
216,25,141,235,"2025-01-27 16:52:58",235,"2025-01-27 16:52:58",1
217,40,141,235,"2025-01-27 16:52:58",235,"2025-01-27 16:52:58",1
