"Location_ID","Title","CreatedBy_ID","CreatedAt","UpdatedBy_ID","UpdatedAt","IsActive"
1,Assemblage,1,"2024-07-23 11:32:33",1,"2024-07-23 11:32:33",1
2,Logistiek,1,"2024-07-23 11:32:33",1,"2024-07-23 11:32:33",1
3,Kantoor,1,"2024-07-23 11:32:33",1,"2024-07-23 11:32:33",1
4,Buitenterrein,1,"2024-07-23 11:32:33",1,"2024-07-23 11:32:33",1
5,Onderweg,1,"2024-07-23 11:32:33",1,"2024-07-23 11:32:33",1
6,Bij montage,1,"2024-07-23 11:32:33",1,"2024-07-23 11:32:33",1
7,Bij eindklant,1,"2024-07-23 11:32:33",1,"2024-07-23 11:32:33",1
8,Hal 1A,499,"2024-10-23 13:16:39",175,"2024-12-16 11:53:56",1
9,Hal 2,499,"2024-10-23 13:16:54",175,"2024-12-16 11:54:05",1
10,Hal 3,499,"2024-10-23 13:17:06",175,"2024-12-16 11:53:53",1
11,Hal 4,499,"2024-10-23 13:17:21",175,"2024-12-16 11:53:49",1
12,Kantoor,499,"2024-10-23 13:17:45",499,"2024-10-23 13:17:45",1
13,Incoming goods,175,"2024-12-16 11:53:05",175,"2024-12-16 11:53:05",1
14,Hal 1B,175,"2024-12-16 11:53:40",175,"2024-12-16 11:53:40",1
15,Trainingsruimte,175,"2024-12-16 11:54:29",175,"2024-12-16 11:54:29",1
16,R&D Ruimte,175,"2024-12-16 11:54:55",175,"2024-12-16 11:54:55",1
17,Top location,422,"2024-12-18 13:05:30",422,"2024-12-18 13:05:30",1
18,Not applicable,235,"2024-12-19 17:01:40",235,"2024-12-19 17:01:40",1
19,Upwards bend,235,"2024-12-23 16:28:07",235,"2024-12-23 16:28:07",1
20,Downwards bend,235,"2024-12-23 16:28:18",235,"2024-12-23 16:28:18",1
21,Vertical bend(s),235,"2024-12-23 16:28:34",235,"2024-12-23 16:28:34",1
22,Horizontal bend(s),235,"2024-12-23 16:28:43",235,"2024-12-23 16:28:43",1
23,Bottom location,235,"2024-12-23 16:28:51",235,"2024-12-23 16:28:51",1
24,Hingerail contact,235,"2024-12-23 16:29:08",235,"2024-12-23 16:29:08",1
25,Transportation rail,235,"2024-12-23 16:29:42",235,"2024-12-23 16:29:42",1
26,Charging contact,235,"2024-12-23 16:30:29",235,"2024-12-23 16:30:29",1
27,Straight rail piece,235,"2024-12-23 16:30:54",235,"2024-12-23 16:30:54",1
28,Unknown,235,"2025-01-27 15:05:35",235,"2025-01-27 15:05:35",1
