"LogType_ID","Title","Code","CreatedBy_ID","CreatedAt","UpdatedBy_ID","UpdatedAt","IsActive"
9,Set Warning,A10,1,"2000-01-01 00:00:00",1,"2024-11-19 13:17:17",1
10,Clear Warning,A20,1,"2000-01-01 00:00:00",1,"2024-11-19 13:17:17",1
11,Set Error,A30,1,"2000-01-01 00:00:00",1,"2024-11-19 13:17:17",1
12,Clear Error,A40,1,"2000-01-01 00:00:00",1,"2024-11-19 13:17:17",1
13,Tilt_Sensor_Too_Tilted,W0,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
14,Rail_Config_Incomplete,W1,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
15,Traction_Encoder_Out_Of_Bound,W2,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
16,Spindel_Encoder_Out_Of_Bound,W3,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
17,Not_Charging,W4,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
18,Safety_Line_Interrupted,W5,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
19,Low_Supply_Voltage,W6,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
20,Chair_Error_Too_High,W7,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
21,Low_Supply_Voltage_Since_Bootup,W8,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
22,Wrong_Logic_Voltage,W9,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
23,Angle_Comparator_Triggered,W10,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
24,Friction_Wheel_Slipping,W11,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
25,Communication_Timed_Out,W12,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
26,ArmRests_Or_Seatbelt_Not_In_Position,W13,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
27,Traction_Encoder_Illegal_Transistions,W14,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
28,Swivel_Encoder_Out_Of_Bound,W15,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
29,Emergency_State_Active,W16,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
30,Safety_Footrest_Left_Pressed,W17,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
31,Safety_Footrest_Right_Pressed,W18,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
32,Safety_Guidance_Up_Pressed,W19,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
33,Safety_Guidance_Down_Pressed,W20,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
34,Safety_Motor_Up_Pressed,W21,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
35,Safety_Motor_Down_Pressed,W22,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
36,KeySwitch_Active,W23,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
37,Temperature_Too_High,W24,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
38,Hingerail_Fold_Fail,W25,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
39,Rail_Checksum_Incorrect,W26,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
40,Safety_Pic_Intervened,W27,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
41,Rail_Improbable,W28,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
42,EEprom_CRC_Incorrect,W29,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
43,Chair_Not_Closed,W30,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
44,Faulty_Friction,W31,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
45,No_Tilt_Sensor_Detected,E0,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
46,Jammed_Spindel_Detected,E1,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
47,Stairlift_No_Defined_Orientation,E2,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
48,Overspeed_Safety_Gear_Activated,E3,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
49,Safety_Pic_Watchdog_Triggerd,E4,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
50,Critical_Low_Voltage_Drop,E5,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
51,Traction_Motor_Encoder_Failure,E6,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
52,Spindel_Motor_Encoder_Failure,E7,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
53,Traction_Motor_Overspeed_Detected,E8,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
54,Traction_Current_Supply_Fail,E9,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
55,Traction_Motor_Over_Current,E10,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
56,Spindel_Current_Supply_Fail,E11,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
57,Spindel_Motor_Over_Current,E12,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
58,Traction_Brake_Failed,E13,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
59,Encoder_Supply_Failed,E14,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
60,System_Over_Current,E15,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
61,Swivel_Motor_Encoder_Failure,E16,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
62,Safety_Line_Footrest_Failure,E17,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
63,Safety_Line_Guidance_Failure,E18,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
64,Safety_Line_Motor_Failure,E19,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
65,Swivel_Encoder_Wire_Failure,E20,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
66,Spindel_Encoder_Wire_Failure,E21,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
67,Traction_Encoder_Wire_Failure,E22,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
68,Chair_PCB_5_Degree_Violation,E23,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
69,Safety_Lines_Supply_Failure,E24,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
70,Swivel_Current_Supply_Fail,E25,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
71,Swivel_Motor_Over_Current,E26,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
72,Communication_Wrong_Message_Number,E27,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
73,SRAM_Test_Failed,E28,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
74,Spindel_No_Current_Detected,E29,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
75,SmartSwitchTest_Failed,E30,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
76,Footrest_Current_Supply_Fail,E31,499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
77,Watchdog Timed Out,"0-1",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
78,OSG Tripped,"1-1",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
79,Friction Wheel Slipping,"2-1",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
80,Brake Overcurrent,"3-1",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
81,Brake Does Not exist,"3-2",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
82,Brake Current seen but no voltage,"3-3",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
83,Traction Overcurrent,"4-1",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
84,Traction Does Not exist,"4-2",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
85,Traction Current seen but no voltage,"4-3",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
86,Traction Overspeed by encoders,"4-4",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
87,Traction Overspeed by Friction wheel,"4-5",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
88,Traction Encoder Fail,"4-6",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
89,Traction Voltage Fail,"4-7",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
90,Spindle Overcurrent,"5-1",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
91,Spindle Does Not exist,"5-2",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
92,Spindle Current seen but no voltage,"5-3",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
93,Spindle Supply fault,"5-4",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
94,Swivel Overcurrent,"6-1",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
95,Swivel Does Not exist,"6-2",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
96,Swivel Current seen but no voltage,"6-3",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
97,Swivel Supply Fualt,"6-4",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
98,Footrest Overcurrent,"7-1",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
99,Footrest Does Not exist,"7-2",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
100,Footrest Current seen but no voltage,"7-3",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
101,Supply 24V Fail,"8-1",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
102,Supply 12V Fail,"8-2",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
103,Supply 5V Fail,"8-3",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
104,Supply OverCurrent,"8-4",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
105,Covers Pressed,"9-1",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
106,Covers Emergency Pressed,"9-2",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
107,Bus Timed out,"10-1",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
108,Bus Duplicate message main,"10-2",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
109,Bus Duplicate message Chair,"10-3",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
110,SRAM fail,"11-1",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
111,SRAM crc fail,"11-2",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
112,Angle Window Comparator,"12-1",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
113,Angle Violation,"12-2",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
114,Angle Odd Value,"12-3",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
115,Angle Compas not closed,"12-4",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
116,Timer not triggering,"13-1",499,"2024-11-19 13:17:44",499,"2024-11-19 13:17:44",1
